aqs_id_full,site_name
840090010010,Roosevelt School-Bridgeport
840090011123,Western Conn State Univ
840090090027,Criscuolo Park-New Haven
840090110124,Fort Griswold Park
840340030010,Fort Lee Near Road
840340070010,South Camden
840340071007,Pennsauken
840340170008,Union City High School
840340171003,Jersey City Firehouse
840340190001,Flemington
840340210005,Rider University
840340210008,Trenton
840340230011,Rutgers University
840340273001,Chester
840340292002,Toms River
840340310005,Paterson
840340390004,Elizabeth Lab
840340392003,Rahway
840340410007,Columbia
840360050080,MORRISANIA
840360050110,IS 52
840360050112,IS 74
840360470052,PS 314
840360470118,PS 274
840360610115,Intermediate School 143
840360610135,CCNY
840360710002,NEWBURGH
840360810120,MASPETH LIBRARY
840360810124,QUEENS COLLEGE 2
840360850055,RICHMOND POST OFFICE
840360850111,FRESHKILLS WEST
840360870005,Rockland County
840361030009,HOLTSVILLE
840361192004,WHITE PLAINS
840421010048,North East Waste (NEW)
840421010055,Ritner (RIT)
840421010057,Fire Administration Building (FAB)
840421010075,Torresdale Station
